,Unnamed: 0,filename,names,counts
14,4,eBXZeVVpBZTJbKDQjVEETgE8VkDwL7imkjoG,[],"{""kejriwal"": 2}"
15,5,XQAbDkkLQbiw0GnWg9ddIDNnO980ooIlB0gJ,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'modi']","{""modi"": 2, ""gandhi"": 1}"
16,6,rP3JlZZWPJTpPx64ve88FmDB6mQGkvCEV4wV,[],"{""kejriwal"": 4, ""gandhi"": 1}"
17,7,Zm0ZD559mZCjx85k06XXFXygd7vyOeCd0ROv,"['Unknown', 'Unknown']","{""modi"": 2}"
18,8,11QA4nnK1AHERwnV6AyyTblPJomoV8tNo2Kg,['Unknown'],"{""modi"": 2}"
19,9,vP4j5223PjTGjVkr9pBBuELBoYpZbGHX5mnD,[],"{""kejriwal"": 3, ""modi"": 1}"
20,0,xPYr5BBLPrTOx6PADjeeuXdKy8oWJoT3x6AX,['owaisi'],"{""owaisi"": 4, ""modi"": 1}"
21,1,Q3E26DDK32H4o28v3AZZSXpPg7Y44osZbw43,['owaisi'],"{""kejriwal"": 1, ""yadav"": 1, ""owaisi"": 5}"
22,2,geyK7EEbeKcKLjdR2EkkhLGlg7X4LQTO4g6J,[],"{""yadav"": 3, ""owaisi"": 5}"
23,3,WYmQD55VYQFAJLmeK5BBspe1wbW693tlP850,['modi'],"{""modi"": 3, ""gandhi"": 1}"
24,4,PnL2655ln2sEvKxmDZjjTWbYn4RGP5CQD54D,"['modi', 'modi']","{""modi"": 5}"
25,5,wPNGm99VPGTEv5P09kddTRZwjEXw0NILw8Pr,[],"{""kejriwal"": 3}"
26,6,vP4j5223PjTGjVkr9pBBuELAjNZlbDsX4OvV,['modi'],"{""modi"": 5}"
27,7,9rpw0QQErwU5RVAmKGQQIkvlVDwnOeFV8Von,['Unknown'],"{""gandhi"": 1}"
28,8,geyK7EEbeKcKLjdR2EkkhLG8ZZodkKCOd1Rx,['gandhi'],"{""gandhi"": 5}"
29,9,lP5KZ77ePKTY8bQ6EpAATb4wxYe84rhmKVBm,['gandhi'],"{""gandhi"": 1}"
30,0,BgJDK880gDUv18KebL99TRJPjod3oBU4KxAX,[],"{""modi"": 1, ""gandhi"": 1}"
31,1,bb947GG0b4HRkWoKYO33CX0g1Zmgv8CvZl7l,[],"{""kejriwal"": 2, ""gandhi"": 1}"
32,2,RV4L655WVLI9EjP0r2ppHd25PPYxPLIwDxLo,"['Unknown', 'Unknown']","{""gandhi"": 1}"
33,3,6P0OR443POT74XKY1x22TWkdLm6kw5CjDKoj,['Unknown'],"{""gandhi"": 1}"
34,4,bb947GG0b4HRkWoKYO33CX0B74V3J1fvN66m,[],"{""modi"": 4, ""gandhi"": 1}"
35,5,PnL2655ln2sEvKxmDZjjTWbOV3lXe1CQPl92,[],"{""modi"": 5}"
36,6,oPvXdwwyPXT1rP6o0DjjTwZylrJrg5HljBWR,[],"{""modi"": 3, ""gandhi"": 1}"
37,7,Gr1lK55brlUrmpZ0YX44TjJ2KNNApRc3rNQG,['Unknown'],"{""modi"": 1}"
38,8,doeN733ZoNtXepVOb3LLfVN3gpWl85cQwmBn,[],"{""gandhi"": 1}"
39,9,Drldx22ZrdUpXW2ENbPPFAKGxgA3OYhw790y,['modi'],"{""modi"": 5, ""gandhi"": 1}"
40,0,Zm0ZD559mZCjx85k06XXFXygd8rNbPhdJXJA,['kejriwal'],"{""kejriwal"": 4}"
41,1,doeN733ZoNtXepVOb3LLfVN3LGm4A8SQkQ66,[],"{""modi"": 1, ""gandhi"": 5}"
42,2,4rAQ0LLGrQUKdw6yVXpphPlydVrAbdCN1bYR,"['yadav', 'yadav']","{""yadav"": 5, ""owaisi"": 5}"
43,3,8rZK0YYLrKU4BdrywPEESGRLpJWAKdtvmRlD,[],"{""yadav"": 5, ""owaisi"": 5}"
44,4,4rAQ0LLGrQUKdw6yVXpphPl2egdG3KhN18y7,"['Unknown', 'modi']","{""modi"": 4, ""gandhi"": 1}"
45,5,VN7YD553NYHmJ1Qn3xooseZOk1BQ5JskgX6Y,"['Unknown', 'yadav', 'modi']","{""modi"": 6}"
46,6,rP3JlZZWPJTpPx64ve88FmDVPGr743SEYEyP,[],"{""modi"": 6}"
47,7,5rwR5EEnrRUd0X6N2Z11T27ZX5P5pnCpoxbk,"['owaisi', 'Unknown', 'Unknown']","{""owaisi"": 4}"
48,8,019LEGGl1LHm41w3QB77sy39g5elwJSEWWn7,"['Unknown', 'kejriwal', 'modi', 'Unknown', 'Unknown', 'Unknown', 'kejriwal']","{""kejriwal"": 4}"
49,9,9rpw0QQErwU5RVAmKGQQIkvlVDXlm7UVQlXN,[],"{""gandhi"": 1}"
50,10,2r7wN33WrwU5Xd0L7PbbIKZx5rYYj1ipErZ2,"['yadav', 'modi']","{""modi"": 5}"
51,11,kP1KwQQdPKTv7xKeRJmmTW1eoZLmDrHK2wod,"['Unknown', 'modi']","{""modi"": 2, ""gandhi"": 1}"
52,12,Drldx22ZrdUpXW2ENbPPFAKldo0OVWFwr6JN,"['modi', 'Unknown', 'modi']","{""modi"": 3}"
53,13,RV4L655WVLI9EjP0r2ppHd25bvw2g7uwoVG8,[],"{""kejriwal"": 4, ""gandhi"": 1}"
